month,warehouse,sku_id,category,supplier,demand_plan,actual_demand,demand_variance_pct,stock_on_hand,safety_stock,reorder_point,po_number,po_qty,po_date,expected_receipt_date,po_status,closing_stock,days_of_cover,stockout_risk,unit_cost_inr,inventory_value_inr
2025-02-01,DEL,SKU-028,Household,Nestle India,1548,1588,2.6,1314,401,641,PO-85219,1929,2025-01-02,2025-02-06,Delivered,1655,31.3,Low,290,479950
2024-09-01,DEL,SKU-029,Personal Care,Procter & Gamble India,2315,2416,4.4,3879,609,975,,0,,,Not Raised,1463,18.2,Low,430,629090
2024-10-01,DEL,SKU-029,Personal Care,Nestle India,3609,3420,-5.2,3137,609,975,PO-18432,4118,2024-09-08,2024-10-12,Delivered,3835,33.6,Low,430,1649050
2024-11-01,DEL,SKU-029,Personal Care,Dabur India,3127,3250,3.9,3934,609,975,,0,,,Not Raised,684,6.3,High,430,294120
2024-12-01,DEL,SKU-029,Personal Care,Nestle India,3013,2937,-2.5,1708,609,975,PO-91972,3135,2024-11-14,2024-12-14,In Transit,1906,19.5,Low,430,819580
2025-01-01,DEL,SKU-029,Personal Care,Emami Limited,2510,2173,-13.4,3191,609,975,,0,,,Not Raised,1018,14.1,Low,430,437740
2025-02-01,DEL,SKU-029,Personal Care,Godrej Consumer Products,2562,2480,-3.2,3413,609,975,,0,,,Not Raised,933,11.3,Medium,430,401190
2024-09-01,DEL,SKU-030,Food & Beverages,Godrej Consumer Products,2634,2634,0.0,2141,681,1089,PO-82924,3181,2024-08-06,2024-09-08,Pending,2688,30.6,Low,650,1747200
2024-10-01,DEL,SKU-030,Food & Beverages,Emami Limited,3670,3143,-14.4,4865,681,1089,,0,,,Not Raised,1722,16.4,Low,650,1119300
2024-11-01,DEL,SKU-030,Food & Beverages,Procter & Gamble India,3453,3611,4.6,2129,681,1089,PO-56768,3606,2024-10-12,2024-11-15,Delivered,2124,17.6,Low,650,1380600
2024-12-01,DEL,SKU-030,Food & Beverages,Procter & Gamble India,4008,3951,-1.4,3068,681,1089,PO-55973,4744,2024-11-13,2024-12-11,Pending,3861,29.3,Low,650,2509650
2025-01-01,DEL,SKU-030,Food & Beverages,Marico Industries,2888,2887,-0.0,2974,681,1089,,0,,,Not Raised,87,0.9,High,650,56550
2025-02-01,DEL,SKU-030,Food & Beverages,Marico Industries,2965,2824,-4.8,3805,681,1089,,0,,,Not Raised,981,10.4,Medium,650,637650
2024-09-01,MUM,SKU-001,Personal Care,Hindustan Unilever Ltd,3783,3477,-8.1,4095,992,1587,,0,,,Not Raised,618,5.3,High,180,111240
2024-10-01,MUM,SKU-001,Personal Care,ITC Limited,5309,4712,-11.2,4857,992,1587,,0,,,Not Raised,145,0.9,High,180,26100
2024-11-01,MUM,SKU-001,Personal Care,Hindustan Unilever Ltd,5634,6089,8.1,2966,992,1587,PO-80758,6564,2024-10-06,2024-11-16,Delivered,3441,17.0,Low,180,619380
2024-12-01,MUM,SKU-001,Personal Care,Godrej Consumer Products,5336,5073,-4.9,3860,992,1587,PO-81163,6833,2024-11-05,2024-12-06,Pending,5620,33.2,Low,180,1011600
2025-01-01,MUM,SKU-001,Personal Care,ITC Limited,3660,3121,-14.7,4904,992,1587,,0,,,Not Raised,1783,17.1,Low,180,320940
2025-02-01,MUM,SKU-001,Personal Care,Emami Limited,3573,3844,7.6,5029,992,1587,,0,,,Not Raised,1185,9.2,Medium,180,213300
2024-09-01,MUM,SKU-002,Personal Care,Dabur India,2288,2226,-2.7,4037,573,918,,0,,,Not Raised,1811,24.4,Low,320,579520
2024-10-01,MUM,SKU-002,Personal Care,Emami Limited,3097,2693,-13.0,1961,573,918,PO-93099,3590,2024-09-03,2024-10-12,Delivered,2858,31.8,Low,320,914560
2024-11-01,MUM,SKU-002,Personal Care,Dabur India,2971,3091,4.0,2044,573,918,PO-85245,3166,2024-10-08,2024-11-13,In Transit,2119,20.6,Low,320,678080
2024-12-01,MUM,SKU-002,Personal Care,Nestle India,3041,2758,-9.3,4000,573,918,,0,,,Not Raised,1242,13.5,Medium,320,397440
2025-01-01,MUM,SKU-002,Personal Care,Nestle India,2137,2278,6.6,3283,573,918,,0,,,Not Raised,1005,13.2,Medium,320,321600
2025-02-01,MUM,SKU-002,Personal Care,Procter & Gamble India,2295,2304,0.4,1581,573,918,PO-82012,2295,2025-01-11,2025-02-13,In Transit,1572,20.5,Low,320,503040
2024-09-01,MUM,SKU-003,Personal Care,Dabur India,1377,1342,-2.5,1209,319,511,PO-11136,1506,2024-08-07,2024-09-08,Delivered,1373,30.7,Low,95,130435
2024-10-01,MUM,SKU-003,Personal Care,Marico Industries,1664,1677,0.8,1154,319,511,PO-94095,1729,2024-09-03,2024-10-06,Pending,1206,21.6,Low,95,114570
2024-11-01,MUM,SKU-003,Personal Care,Emami Limited,1748,1557,-10.9,884,319,511,PO-59499,1934,2024-10-02,2024-11-13,Delivered,1261,24.3,Low,95,119795
2024-12-01,MUM,SKU-003,Personal Care,Godrej Consumer Products,1559,1532,-1.7,1905,319,511,,0,,,Not Raised,373,7.3,Medium,95,35435
2025-01-01,MUM,SKU-003,Personal Care,Emami Limited,1299,1301,0.2,910,319,511,PO-57820,1591,2024-12-02,2025-01-09,In Transit,1200,27.7,Low,95,114000
2025-02-01,MUM,SKU-003,Personal Care,Godrej Consumer Products,1203,1155,-4.0,1578,319,511,,0,,,Not Raised,423,11.0,Medium,95,40185
2024-09-01,MUM,SKU-004,Food & Beverages,Godrej Consumer Products,2458,2584,5.1,2953,611,978,,0,,,Not Raised,369,4.3,High,210,77490
2024-10-01,MUM,SKU-004,Food & Beverages,Emami Limited,3569,3811,6.8,2797,611,978,PO-18456,3831,2024-09-08,2024-10-10,In Transit,2817,22.2,Low,210,591570
2024-11-01,MUM,SKU-004,Food & Beverages,Marico Industries,3580,3260,-8.9,3125,611,978,PO-73356,3774,2024-10-02,2024-11-10,In Transit,3639,33.5,Low,210,764190
2024-12-01,MUM,SKU-004,Food & Beverages,Marico Industries,3156,3028,-4.1,1931,611,978,PO-58390,3290,2024-11-08,2024-12-14,In Transit,2193,21.7,Low,210,460530
2025-01-01,MUM,SKU-004,Food & Beverages,ITC Limited,2389,2517,5.4,3774,611,978,,0,,,Not Raised,1257,15.0,Low,210,263970
2025-02-01,MUM,SKU-004,Food & Beverages,Marico Industries,2656,2759,3.9,3913,611,978,,0,,,Not Raised,1154,12.5,Medium,210,242340
2024-09-01,MUM,SKU-005,Food & Beverages,Procter & Gamble India,844,821,-2.7,1437,218,349,,0,,,Not Raised,616,22.5,Low,145,89320
2024-10-01,MUM,SKU-005,Food & Beverages,Hindustan Unilever Ltd,1091,978,-10.4,1148,218,349,,0,,,Not Raised,170,5.2,High,145,24650
2024-11-01,MUM,SKU-005,Food & Beverages,Emami Limited,1278,1189,-7.0,537,218,349,PO-52216,1387,2024-10-14,2024-11-13,Delivered,735,18.5,Low,145,106575
2024-12-01,MUM,SKU-005,Food & Beverages,Nestle India,1191,1097,-7.9,862,218,349,PO-48069,1393,2024-11-09,2024-12-10,In Transit,1158,31.7,Low,145,167910
2025-01-01,MUM,SKU-005,Food & Beverages,Marico Industries,858,913,6.4,1299,218,349,,0,,,Not Raised,386,12.7,Medium,145,55970
2025-02-01,MUM,SKU-005,Food & Beverages,Procter & Gamble India,804,710,-11.7,1164,218,349,,0,,,Not Raised,454,19.2,Low,145,65830
2024-09-01,MUM,SKU-006,Food & Beverages,Emami Limited,1479,1593,7.7,2080,340,544,,0,,,Not Raised,487,9.2,Medium,480,233760
2024-10-01,MUM,SKU-006,Food & Beverages,Procter & Gamble India,1775,1598,-10.0,2247,340,544,,0,,,Not Raised,649,12.2,Medium,480,311520
2024-11-01,MUM,SKU-006,Food & Beverages,Godrej Consumer Products,1974,1859,-5.8,2358,340,544,,0,,,Not Raised,499,8.1,Medium,480,239520
2024-12-01,MUM,SKU-006,Food & Beverages,Nestle India,1994,2104,5.5,1910,340,544,PO-25733,2006,2024-11-04,2024-12-08,Pending,1812,25.8,Low,480,869760
2025-01-01,MUM,SKU-006,Food & Beverages,Marico Industries,1385,1494,7.9,1673,340,544,,0,,,Not Raised,179,3.6,High,480,85920
2025-02-01,MUM,SKU-006,Food & Beverages,Nestle India,1431,1332,-6.9,1584,340,544,,0,,,Not Raised,252,5.7,High,480,120960
2024-09-01,MUM,SKU-007,Food & Beverages,Marico Industries,2555,2674,4.7,4311,605,968,,0,,,Not Raised,1637,18.4,Low,190,311030
2024-10-01,MUM,SKU-007,Food & Beverages,Procter & Gamble India,3498,3344,-4.4,1590,605,968,PO-67323,4476,2024-09-02,2024-10-09,Pending,2722,24.4,Low,190,517180
2024-11-01,MUM,SKU-007,Food & Beverages,Godrej Consumer Products,3494,3329,-4.7,3106,605,968,PO-11459,4183,2024-10-02,2024-11-14,In Transit,3960,35.7,Low,190,752400
2024-12-01,MUM,SKU-007,Food & Beverages,Marico Industries,3458,3591,3.8,3445,605,968,PO-28415,3761,2024-11-05,2024-12-16,Delivered,3615,30.2,Low,190,686850
2025-01-01,MUM,SKU-007,Food & Beverages,Hindustan Unilever Ltd,2469,2195,-11.1,3224,605,968,,0,,,Not Raised,1029,14.1,Low,190,195510
2025-02-01,MUM,SKU-007,Food & Beverages,Procter & Gamble India,2511,2145,-14.6,2735,605,968,,0,,,Not Raised,590,8.3,Medium,190,112100
2024-09-01,MUM,SKU-008,Household,Godrej Consumer Products,3427,3503,2.2,2555,822,1315,PO-47964,3792,2024-08-03,2024-09-14,Delivered,2844,24.4,Low,350,995400
2024-10-01,MUM,SKU-008,Household,ITC Limited,4338,3704,-14.6,4424,822,1315,,0,,,Not Raised,720,5.8,High,350,252000
2024-11-01,MUM,SKU-008,Household,Marico Industries,4651,4447,-4.4,2451,822,1315,PO-31573,5291,2024-10-07,2024-11-09,Pending,3295,22.2,Low,350,1153250
2024-12-01,MUM,SKU-008,Household,Dabur India,4242,4281,0.9,4158,822,1315,PO-10936,5154,2024-11-02,2024-12-16,Delivered,5031,35.3,Low,350,1760850
2025-01-01,MUM,SKU-008,Household,Hindustan Unilever Ltd,3285,3376,2.8,4991,822,1315,,0,,,Not Raised,1615,14.4,Low,350,565250
2025-02-01,MUM,SKU-008,Household,Procter & Gamble India,3199,3312,3.5,3310,822,1315,PO-91161,3800,2025-01-13,2025-02-12,Pending,3798,34.4,Low,350,1329300
2024-09-01,MUM,SKU-009,Household,Hindustan Unilever Ltd,4323,3710,-14.2,4542,992,1588,,0,,,Not Raised,832,6.7,High,620,515840
2024-10-01,MUM,SKU-009,Household,Emami Limited,5197,5453,4.9,6441,992,1588,,0,,,Not Raised,988,5.4,High,620,612560
2024-11-01,MUM,SKU-009,Household,Procter & Gamble India,5473,5265,-3.8,2690,992,1588,PO-82455,5683,2024-10-14,2024-11-11,In Transit,3108,17.7,Low,620,1926960
2024-12-01,MUM,SKU-009,Household,Marico Industries,5305,4546,-14.3,6818,992,1588,,0,,,Not Raised,2272,15.0,Low,620,1408640
2025-01-01,MUM,SKU-009,Household,Nestle India,4259,4174,-2.0,3971,992,1588,PO-50655,4833,2024-12-13,2025-01-07,In Transit,4630,33.3,Low,620,2870600
2025-02-01,MUM,SKU-009,Household,Hindustan Unilever Ltd,3640,3524,-3.2,4666,992,1588,,0,,,Not Raised,1142,9.7,Medium,620,708040
2024-09-01,MUM,SKU-010,Household,Hindustan Unilever Ltd,3976,3803,-4.4,3075,925,1480,PO-63476,4018,2024-08-06,2024-09-14,Delivered,3290,26.0,Low,275,904750
2024-10-01,MUM,SKU-010,Household,Emami Limited,5056,5161,2.1,4450,925,1480,PO-68070,6539,2024-09-03,2024-10-14,Delivered,5828,33.9,Low,275,1602700
2024-11-01,MUM,SKU-010,Household,Marico Industries,4659,4584,-1.6,4111,925,1480,PO-58679,5590,2024-10-16,2024-11-12,In Transit,5117,33.5,Low,275,1407175
2024-12-01,MUM,SKU-010,Household,Hindustan Unilever Ltd,5493,5149,-6.3,3801,925,1480,PO-51740,6786,2024-11-06,2024-12-10,Delivered,5438,31.7,Low,275,1495450
2025-01-01,MUM,SKU-010,Household,Marico Industries,4030,4188,3.9,5193,925,1480,,0,,,Not Raised,1005,7.2,Medium,275,276375
2025-02-01,MUM,SKU-010,Household,Hindustan Unilever Ltd,3688,3742,1.5,3792,925,1480,,0,,,Not Raised,50,0.4,High,275,13750
2024-09-01,MUM,SKU-011,Personal Care,ITC Limited,2056,1839,-10.6,3059,536,858,,0,,,Not Raised,1220,19.9,Low,240,292800
2024-10-01,MUM,SKU-011,Personal Care,Godrej Consumer Products,2621,2582,-1.5,2111,536,858,PO-73495,2876,2024-09-02,2024-10-08,Delivered,2405,27.9,Low,240,577200
2024-11-01,MUM,SKU-011,Personal Care,Nestle India,2897,3010,3.9,3305,536,858,,0,,,Not Raised,295,2.9,High,240,70800
2024-12-01,MUM,SKU-011,Personal Care,Hindustan Unilever Ltd,2633,2252,-14.5,2028,536,858,PO-71199,2723,2024-11-07,2024-12-07,In Transit,2499,33.3,Low,240,599760
2025-01-01,MUM,SKU-011,Personal Care,ITC Limited,2245,2433,8.4,2066,536,858,PO-66114,2409,2024-12-05,2025-01-12,Delivered,2042,25.2,Low,240,490080
2025-02-01,MUM,SKU-011,Personal Care,Procter & Gamble India,2259,2384,5.5,1508,536,858,PO-94922,2689,2025-01-05,2025-02-12,Delivered,1813,22.8,Low,240,435120
2024-09-01,MUM,SKU-012,Food & Beverages,Godrej Consumer Products,2658,2727,2.6,3135,694,1111,,0,,,Not Raised,408,4.5,High,165,67320
2024-10-01,MUM,SKU-012,Food & Beverages,Godrej Consumer Products,3409,2932,-14.0,4431,694,1111,,0,,,Not Raised,1499,15.3,Low,165,247335
2024-11-01,MUM,SKU-012,Food & Beverages,Nestle India,3789,3252,-14.2,3802,694,1111,,0,,,Not Raised,550,5.1,High,165,90750
2024-12-01,MUM,SKU-012,Food & Beverages,Dabur India,3472,3365,-3.1,3020,694,1111,PO-89558,4400,2024-11-15,2024-12-16,In Transit,4055,36.2,Low,165,669075
2025-01-01,MUM,SKU-012,Food & Beverages,Emami Limited,2938,2955,0.6,2773,694,1111,PO-37677,3510,2024-12-16,2025-01-16,Delivered,3328,33.8,Low,165,549120
2025-02-01,MUM,SKU-012,Food & Beverages,Nestle India,2812,2673,-4.9,3291,694,1111,,0,,,Not Raised,618,6.9,High,165,101970
2024-09-01,MUM,SKU-013,Household,ITC Limited,2504,2331,-6.9,3158,651,1042,,0,,,Not Raised,827,10.6,Medium,410,339070
2024-10-01,MUM,SKU-013,Household,Nestle India,3507,3440,-1.9,2254,651,1042,PO-44161,3874,2024-09-07,2024-10-16,Pending,2688,23.4,Low,410,1102080
2024-11-01,MUM,SKU-013,Household,Emami Limited,3357,3387,0.9,4013,651,1042,,0,,,Not Raised,626,5.5,High,410,256660
2024-12-01,MUM,SKU-013,Household,Hindustan Unilever Ltd,3448,3144,-8.8,3463,651,1042,,0,,,Not Raised,319,3.0,High,410,130790
2025-01-01,MUM,SKU-013,Household,Emami Limited,2725,2493,-8.5,2225,651,1042,PO-74987,3466,2024-12-17,2025-01-10,Pending,3198,38.5,Low,410,1311180
2025-02-01,MUM,SKU-013,Household,Marico Industries,2674,2835,6.0,1890,651,1042,PO-16675,2682,2025-01-05,2025-02-07,Pending,1737,18.4,Low,410,712170
2024-09-01,MUM,SKU-014,Personal Care,ITC Limited,2359,2301,-2.5,2648,582,931,,0,,,Not Raised,347,4.5,High,115,39905
2024-10-01,MUM,SKU-014,Personal Care,ITC Limited,3142,2681,-14.7,3046,582,931,,0,,,Not Raised,365,4.1,High,115,41975
2024-11-01,MUM,SKU-014,Personal Care,ITC Limited,3387,3699,9.2,4078,582,931,,0,,,Not Raised,379,3.1,High,115,43585
2024-12-01,MUM,SKU-014,Personal Care,Dabur India,2969,2536,-14.6,3795,582,931,,0,,,Not Raised,1259,14.9,Low,115,144785
2025-01-01,MUM,SKU-014,Personal Care,Dabur India,2272,1992,-12.3,1902,582,931,PO-52665,2337,2024-12-16,2025-01-07,In Transit,2247,33.8,Low,115,258405
2025-02-01,MUM,SKU-014,Personal Care,Godrej Consumer Products,2217,2111,-4.8,4179,582,931,,0,,,Not Raised,2068,29.4,Low,115,237820
2024-09-01,MUM,SKU-015,Food & Beverages,Procter & Gamble India,1325,1163,-12.2,2199,335,536,,0,,,Not Raised,1036,26.7,Low,540,559440
2024-10-01,MUM,SKU-015,Food & Beverages,Godrej Consumer Products,1783,1572,-11.8,1453,335,536,PO-75296,2050,2024-09-04,2024-10-08,Delivered,1931,36.9,Low,540,1042740
2024-11-01,MUM,SKU-015,Food & Beverages,Marico Industries,1917,1935,0.9,2321,335,536,,0,,,Not Raised,386,6.0,High,540,208440
2024-12-01,MUM,SKU-015,Food & Beverages,Procter & Gamble India,1732,1488,-14.1,901,335,536,PO-95462,2025,2024-11-02,2024-12-07,In Transit,1438,29.0,Low,540,776520
2025-01-01,MUM,SKU-015,Food & Beverages,ITC Limited,1266,1316,3.9,2051,335,536,,0,,,Not Raised,735,16.8,Low,540,396900
2025-02-01,MUM,SKU-015,Food & Beverages,Emami Limited,1458,1252,-14.1,1252,335,536,,0,,,Not Raised,0,0.0,High,540,0
2024-09-01,MUM,SKU-016,Household,Emami Limited,3942,4165,5.7,3327,906,1450,PO-53642,5016,2024-08-09,2024-09-13,Delivered,4178,30.1,Low,890,3718420
2024-10-01,MUM,SKU-016,Household,Godrej Consumer Products,4440,4068,-8.4,5507,906,1450,,0,,,Not Raised,1439,10.6,Medium,890,1280710
2024-11-01,MUM,SKU-016,Household,Nestle India,4585,4196,-8.5,6388,906,1450,,0,,,Not Raised,2192,15.7,Low,890,1950880
2024-12-01,MUM,SKU-016,Household,Dabur India,4991,5230,4.8,5387,906,1450,,0,,,Not Raised,157,0.9,High,890,139730
2025-01-01,MUM,SKU-016,Household,Marico Industries,3790,3571,-5.8,2550,906,1450,PO-83099,4555,2024-12-14,2025-01-09,Pending,3534,29.7,Low,890,3145260
2025-02-01,MUM,SKU-016,Household,Emami Limited,3294,3289,-0.2,4285,906,1450,,0,,,Not Raised,996,9.1,Medium,890,886440
2024-09-01,MUM,SKU-017,Personal Care,Procter & Gamble India,2375,2376,0.0,4030,640,1025,,0,,,Not Raised,1654,20.9,Low,380,628520
2024-10-01,MUM,SKU-017,Personal Care,Nestle India,3421,3416,-0.1,4400,640,1025,,0,,,Not Raised,984,8.6,Medium,380,373920
2024-11-01,MUM,SKU-017,Personal Care,Emami Limited,3330,2975,-10.7,2999,640,1025,,0,,,Not Raised,24,0.2,High,380,9120
2024-12-01,MUM,SKU-017,Personal Care,Dabur India,3115,3272,5.0,2403,640,1025,PO-10445,3746,2024-11-07,2024-12-12,In Transit,2877,26.4,Low,380,1093260
2025-01-01,MUM,SKU-017,Personal Care,Godrej Consumer Products,2715,2603,-4.1,1919,640,1025,PO-54759,3001,2024-12-08,2025-01-08,In Transit,2317,26.7,Low,380,880460
2025-02-01,MUM,SKU-017,Personal Care,Dabur India,2504,2477,-1.1,1978,640,1025,PO-26106,3213,2025-01-13,2025-02-07,Delivered,2714,32.9,Low,380,1031320
2024-09-01,MUM,SKU-018,Food & Beverages,Godrej Consumer Products,2697,2535,-6.0,1727,628,1006,PO-28528,2704,2024-08-06,2024-09-10,Delivered,1896,22.4,Low,225,426600
2024-10-01,MUM,SKU-018,Food & Beverages,Nestle India,3643,3405,-6.5,2618,628,1006,PO-11735,4629,2024-09-15,2024-10-14,In Transit,3842,33.9,Low,225,864450
2024-11-01,MUM,SKU-018,Food & Beverages,Nestle India,3353,3244,-3.3,1965,628,1006,PO-96058,3542,2024-10-08,2024-11-06,Pending,2263,20.9,Low,225,509175
2024-12-01,MUM,SKU-018,Food & Beverages,Procter & Gamble India,3475,3378,-2.8,4334,628,1006,,0,,,Not Raised,956,8.5,Medium,225,215100
2025-01-01,MUM,SKU-018,Food & Beverages,Procter & Gamble India,2339,2262,-3.3,2871,628,1006,,0,,,Not Raised,609,8.1,Medium,225,137025
2025-02-01,MUM,SKU-018,Food & Beverages,Emami Limited,2341,2229,-4.8,2863,628,1006,,0,,,Not Raised,634,8.5,Medium,225,142650
2024-09-01,MUM,SKU-019,Household,ITC Limited,3058,2931,-4.2,4140,774,1238,,0,,,Not Raised,1209,12.4,Medium,560,677040
2024-10-01,MUM,SKU-019,Household,Marico Industries,4247,4506,6.1,4689,774,1238,,0,,,Not Raised,183,1.2,High,560,102480
2024-11-01,MUM,SKU-019,Household,Procter & Gamble India,4296,4143,-3.6,2950,774,1238,PO-19558,5180,2024-10-08,2024-11-10,Pending,3987,28.9,Low,560,2232720
2024-12-01,MUM,SKU-019,Household,Marico Industries,3929,3819,-2.8,4224,774,1238,,0,,,Not Raised,405,3.2,High,560,226800
2025-01-01,MUM,SKU-019,Household,Emami Limited,2883,3074,6.6,4561,774,1238,,0,,,Not Raised,1487,14.5,Low,560,832720
2025-02-01,MUM,SKU-019,Household,Hindustan Unilever Ltd,3039,2781,-8.5,4885,774,1238,,0,,,Not Raised,2104,22.7,Low,560,1178240
2024-09-01,MUM,SKU-020,Personal Care,Emami Limited,2148,2003,-6.8,2155,496,794,,0,,,Not Raised,152,2.3,High,195,29640
2024-10-01,MUM,SKU-020,Personal Care,ITC Limited,2894,2927,1.1,1690,496,794,PO-37052,3056,2024-09-10,2024-10-07,In Transit,1819,18.6,Low,195,354705
2024-11-01,MUM,SKU-020,Personal Care,Procter & Gamble India,2881,2797,-2.9,2614,496,794,PO-34826,3176,2024-10-08,2024-11-06,Delivered,2993,32.1,Low,195,583635
2024-12-01,MUM,SKU-020,Personal Care,ITC Limited,2520,2554,1.3,3087,496,794,,0,,,Not Raised,533,6.3,High,195,103935
2025-01-01,MUM,SKU-020,Personal Care,Hindustan Unilever Ltd,1990,1743,-12.4,2151,496,794,,0,,,Not Raised,408,7.0,Medium,195,79560
2025-02-01,MUM,SKU-020,Personal Care,ITC Limited,1849,1767,-4.4,2473,496,794,,0,,,Not Raised,706,12.0,Medium,195,137670
2024-09-01,MUM,SKU-021,Food & Beverages,Godrej Consumer Products,3318,3004,-9.5,3812,772,1235,,0,,,Not Raised,808,8.1,Medium,300,242400
2024-10-01,MUM,SKU-021,Food & Beverages,ITC Limited,4549,3948,-13.2,3164,772,1235,PO-57117,5606,2024-09-09,2024-10-15,In Transit,4822,36.6,Low,300,1446600
2024-11-01,MUM,SKU-021,Food & Beverages,Emami Limited,4157,3803,-8.5,2174,772,1235,PO-65876,4552,2024-10-15,2024-11-06,Pending,2923,23.1,Low,300,876900
2024-12-01,MUM,SKU-021,Food & Beverages,Emami Limited,3763,3593,-4.5,2533,772,1235,PO-14964,4570,2024-11-05,2024-12-06,In Transit,3510,29.3,Low,300,1053000
2025-01-01,MUM,SKU-021,Food & Beverages,Nestle India,3367,3207,-4.8,5518,772,1235,,0,,,Not Raised,2311,21.6,Low,300,693300
2025-02-01,MUM,SKU-021,Food & Beverages,Nestle India,3280,3042,-7.3,5381,772,1235,,0,,,Not Raised,2339,23.1,Low,300,701700
2024-09-01,MUM,SKU-022,Household,Nestle India,938,1013,8.0,1014,252,404,,0,,,Not Raised,1,0.0,High,740,740
2024-10-01,MUM,SKU-022,Household,ITC Limited,1464,1571,7.3,1771,252,404,,0,,,Not Raised,200,3.8,High,740,148000
2024-11-01,MUM,SKU-022,Household,Dabur India,1484,1549,4.4,1014,252,404,PO-14347,1909,2024-10-13,2024-11-07,Delivered,1374,26.6,Low,740,1016760
2024-12-01,MUM,SKU-022,Household,Marico Industries,1248,1331,6.7,1629,252,404,,0,,,Not Raised,298,6.7,High,740,220520
2025-01-01,MUM,SKU-022,Household,Marico Industries,1095,935,-14.6,770,252,404,PO-94222,1297,2024-12-15,2025-01-06,Pending,1132,36.3,Low,740,837680
2025-02-01,MUM,SKU-022,Household,Emami Limited,980,1045,6.6,1118,252,404,,0,,,Not Raised,73,2.1,High,740,54020
2024-09-01,MUM,SKU-023,Personal Care,Procter & Gamble India,1660,1566,-5.7,2999,422,675,,0,,,Not Raised,1433,27.5,Low,270,386910
2024-10-01,MUM,SKU-023,Personal Care,Hindustan Unilever Ltd,2241,1956,-12.7,1805,422,675,PO-68002,2866,2024-09-11,2024-10-07,In Transit,2715,41.6,Low,270,733050
2024-11-01,MUM,SKU-023,Personal Care,Procter & Gamble India,2485,2404,-3.3,1409,422,675,PO-85833,2876,2024-10-03,2024-11-07,In Transit,1881,23.5,Low,270,507870
2024-12-01,MUM,SKU-023,Personal Care,Nestle India,2059,2068,0.4,2233,422,675,,0,,,Not Raised,165,2.4,High,270,44550
2025-01-01,MUM,SKU-023,Personal Care,Emami Limited,1528,1318,-13.7,2725,422,675,,0,,,Not Raised,1407,32.0,Low,270,379890
2025-02-01,MUM,SKU-023,Personal Care,Nestle India,1578,1655,4.9,1989,422,675,,0,,,Not Raised,334,6.1,High,270,90180
2024-09-01,MUM,SKU-024,Food & Beverages,Godrej Consumer Products,3871,4195,8.4,4202,882,1411,,0,,,Not Raised,7,0.1,High,180,1260
2024-10-01,MUM,SKU-024,Food & Beverages,Nestle India,5138,4943,-3.8,4334,882,1411,PO-70535,5961,2024-09-11,2024-10-07,Delivered,5352,32.5,Low,180,963360
2024-11-01,MUM,SKU-024,Food & Beverages,Marico Industries,4505,3961,-12.1,3515,882,1411,PO-97899,4740,2024-10-11,2024-11-08,Delivered,4294,32.5,Low,180,772920
2024-12-01,MUM,SKU-024,Food & Beverages,Procter & Gamble India,4934,5383,9.1,3506,882,1411,PO-82177,4989,2024-11-07,2024-12-15,Pending,3112,17.3,Low,180,560160
2025-01-01,MUM,SKU-024,Food & Beverages,ITC Limited,3658,3882,6.1,3369,882,1411,PO-76304,4503,2024-12-06,2025-01-10,Delivered,3990,30.8,Low,180,718200
2025-02-01,MUM,SKU-024,Food & Beverages,Nestle India,3555,3721,4.7,3646,882,1411,PO-45336,3841,2025-01-16,2025-02-06,In Transit,3766,30.4,Low,180,677880
2024-09-01,MUM,SKU-025,Household,Procter & Gamble India,4027,3641,-9.6,4190,958,1533,,0,,,Not Raised,549,4.5,High,980,538020
2024-10-01,MUM,SKU-025,Household,Godrej Consumer Products,5151,4829,-6.3,6798,958,1533,,0,,,Not Raised,1969,12.2,Medium,980,1929620
2024-11-01,MUM,SKU-025,Household,Procter & Gamble India,5328,4901,-8.0,6522,958,1533,,0,,,Not Raised,1621,9.9,Medium,980,1588580
2024-12-01,MUM,SKU-025,Household,Hindustan Unilever Ltd,5215,4903,-6.0,2362,958,1533,PO-34678,6375,2024-11-02,2024-12-06,Pending,3834,23.5,Low,980,3757320
2025-01-01,MUM,SKU-025,Household,Hindustan Unilever Ltd,3538,3705,4.7,2736,958,1533,PO-47060,4470,2024-12-10,2025-01-11,Pending,3501,28.3,Low,980,3430980
2025-02-01,MUM,SKU-025,Household,Godrej Consumer Products,3597,3270,-9.1,6007,958,1533,,0,,,Not Raised,2737,25.1,Low,980,2682260
2024-09-01,MUM,SKU-026,Personal Care,Hindustan Unilever Ltd,1245,1238,-0.6,1104,301,481,PO-21879,1288,2024-08-15,2024-09-10,In Transit,1154,28.0,Low,155,178870
2024-10-01,MUM,SKU-026,Personal Care,Procter & Gamble India,1751,1784,1.9,2151,301,481,,0,,,Not Raised,367,6.2,High,155,56885
2024-11-01,MUM,SKU-026,Personal Care,Nestle India,1569,1336,-14.9,2074,301,481,,0,,,Not Raised,738,16.6,Low,155,114390
2024-12-01,MUM,SKU-026,Personal Care,Dabur India,1783,1876,5.2,1276,301,481,PO-27098,2150,2024-11-10,2024-12-07,In Transit,1550,24.8,Low,155,240250
2025-01-01,MUM,SKU-026,Personal Care,Procter & Gamble India,1266,1202,-5.1,2076,301,481,,0,,,Not Raised,874,21.8,Low,155,135470
